Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3543,FOUR SEASONS HOTELS,FOUR SEASONS HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3543':{'combined description':'FOUR SEASONS HOTELS', 'USDA description':'FOUR SEASONS HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3544,CIGA HOTELS,CIGA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3544':{'combined description':'CIGA HOTELS', 'USDA description':'CIGA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3545,SHANGRI-LA INTERNATIONAL,SHANGRI-LA INTERNATIONAL,Hotels/Motels/Inns/Resorts,Yes,"'3545':{'combined description':'SHANGRI-LA INTERNATIONAL', 'USDA description':'SHANGRI-LA INTERNATIONAL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3546,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3546':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3547,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3547':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3548,HOTELES MELIA,HOTELES MELIA,Hotels/Motels/Inns/Resorts,Yes,"'3548':{'combined description':'HOTELES MELIA', 'USDA description':'HOTELES MELIA','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3549,AUBERGE DES GOVERNEURS,AUBERGE DES GOVERNEURS,Hotels/Motels/Inns/Resorts,Yes,"'3549':{'combined description':'AUBERGE DES GOVERNEURS', 'USDA description':'AUBERGE DES GOVERNEURS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3550,REGAL 8 INNS,REGAL 8 INNS,Hotels/Motels/Inns/Resorts,Yes,"'3550':{'combined description':'REGAL 8 INNS', 'USDA description':'REGAL 8 INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3551,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3551':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3552,COAST HOTELS,COAST HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3552':{'combined description':'COAST HOTELS', 'USDA description':'COAST HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3553,PARK INNS INTERNATIONAL,PARK INNS INTERNATIONAL,Hotels/Motels/Inns/Resorts,Yes,"'3553':{'combined description':'PARK INNS INTERNATIONAL', 'USDA description':'PARK INNS INTERNATIONAL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3554,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3554':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3555,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3555':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3556,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3556':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3557,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3557':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3558,JOLLY HOTELS,JOLLY HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3558':{'combined description':'JOLLY HOTELS', 'USDA description':'JOLLY HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3559,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3559':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3560,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3560':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3561,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3561':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3562,COMFORT INNS,COMFORT INNS,Hotels/Motels/Inns/Resorts,Yes,"'3562':{'combined description':'COMFORT INNS', 'USDA description':'COMFORT INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3563,JOURNEY\'S END MOTLS,JOURNEY\'S END MOTLS,Hotels/Motels/Inns/Resorts,Yes,"'3563':{'combined description':'JOURNEY\'S END MOTLS', 'USDA description':'JOURNEY\'S END MOTLS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3564,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3564':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3565,RELAX INNS,RELAX INNS,Hotels/Motels/Inns/Resorts,Yes,"'3565':{'combined description':'RELAX INNS', 'USDA description':'RELAX INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3566,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3566':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3567,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3567':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3568,LADBROKE HOTELS,LADBROKE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3568':{'combined description':'LADBROKE HOTELS', 'USDA description':'LADBROKE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3569,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3569':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3570,FORUM HOTELS,FORUM HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3570':{'combined description':'FORUM HOTELS', 'USDA description':'FORUM HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3571,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3571':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3572,MIYAKO HOTELS,MIYAKO HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3572':{'combined description':'MIYAKO HOTELS', 'USDA description':'MIYAKO HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3573,SANDMAN HOTELS,SANDMAN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3573':{'combined description':'SANDMAN HOTELS', 'USDA description':'SANDMAN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3574,VENTURE INNS,VENTURE INNS,Hotels/Motels/Inns/Resorts,Yes,"'3574':{'combined description':'VENTURE INNS', 'USDA description':'VENTURE INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3575,VAGABOND HOTELS,VAGABOND HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3575':{'combined description':'VAGABOND HOTELS', 'USDA description':'VAGABOND HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3576,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3576':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3577,MANDARIN ORIENTAL HOTEL,MANDARIN ORIENTAL HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3577':{'combined description':'MANDARIN ORIENTAL HOTEL', 'USDA description':'MANDARIN ORIENTAL HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3578,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3578':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3579,HOTEL MERCURE,HOTEL MERCURE,Hotels/Motels/Inns/Resorts,Yes,"'3579':{'combined description':'HOTEL MERCURE', 'USDA description':'HOTEL MERCURE','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3580,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3580':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3581,DELTA HOTEL,DELTA HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3581':{'combined description':'DELTA HOTEL', 'USDA description':'DELTA HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3582,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3582':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3583,SAS HOTELS,SAS HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3583':{'combined description':'SAS HOTELS', 'USDA description':'SAS HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3584,PRINCESS HOTELS INTERNATIONAL,PRINCESS HOTELS INTERNATIONAL,Hotels/Motels/Inns/Resorts,Yes,"'3584':{'combined description':'PRINCESS HOTELS INTERNATIONAL', 'USDA description':'PRINCESS HOTELS INTERNATIONAL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3585,HUNGAR HOTELS,HUNGAR HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3585':{'combined description':'HUNGAR HOTELS', 'USDA description':'HUNGAR HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3586,SOKOS HOTELS,SOKOS HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3586':{'combined description':'SOKOS HOTELS', 'USDA description':'SOKOS HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3587,DORAL HOTELS,DORAL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3587':{'combined description':'DORAL HOTELS', 'USDA description':'DORAL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3588,HELMSLEY HOTELS,HELMSLEY HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3588':{'combined description':'HELMSLEY HOTELS', 'USDA description':'HELMSLEY HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3589,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3589':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3590,FAIRMONT HOTELS,FAIRMONT HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3590':{'combined description':'FAIRMONT HOTELS', 'USDA description':'FAIRMONT HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3591,SONESTA HOTELS,SONESTA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3591':{'combined description':'SONESTA HOTELS', 'USDA description':'SONESTA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3592,OMNI HOTELS,OMNI HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3592':{'combined description':'OMNI HOTELS', 'USDA description':'OMNI HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3593,CUNARD HOTELS,CUNARD HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3593':{'combined description':'CUNARD HOTELS', 'USDA description':'CUNARD HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3594,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3594':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3595,HOSPITALITY INTERNATIONAL,HOSPITALITY INTERNATIONAL,Hotels/Motels/Inns/Resorts,Yes,"'3595':{'combined description':'HOSPITALITY INTERNATIONAL', 'USDA description':'HOSPITALITY INTERNATIONAL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3596,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3596':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3597,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3597':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3598,REGENT INTERNATIONAL HOTELS,REGENT INTERNATIONAL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3598':{'combined description':'REGENT INTERNATIONAL HOTELS', 'USDA description':'REGENT INTERNATIONAL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3599,PANNONIA HOTELS,PANNONIA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3599':{'combined description':'PANNONIA HOTELS', 'USDA description':'PANNONIA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3600,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3600':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3601,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3601':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3602,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3602':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3603,NOAH\'S HOTELS,NOAH\'S HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3603':{'combined description':'NOAH\'S HOTELS', 'USDA description':'NOAH\'S HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3604,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3604':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3605,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3605':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3606,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3606':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3607,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3607':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3608,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3608':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3609,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3609':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3610,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3610':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3611,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3611':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3612,MOVENPICK HOTELS,MOVENPICK HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3612':{'combined description':'MOVENPICK HOTELS', 'USDA description':'MOVENPICK HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3613,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3613':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3614,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3614':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3615,TRAVELODGE,TRAVELODGE,Hotels/Motels/Inns/Resorts,Yes,"'3615':{'combined description':'TRAVELODGE', 'USDA description':'TRAVELODGE','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3616,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3616':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3617,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3617':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3618,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3618':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3619,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3619':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3620,TELFORD INTERNATIONAL,TELFORD INTERNATIONAL,Hotels/Motels/Inns/Resorts,Yes,"'3620':{'combined description':'TELFORD INTERNATIONAL', 'USDA description':'TELFORD INTERNATIONAL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3621,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3621':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3622,MERLIN HOTELS,MERLIN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3622':{'combined description':'MERLIN HOTELS', 'USDA description':'MERLIN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3623,DORINT HOTELS,DORINT HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3623':{'combined description':'DORINT HOTELS', 'USDA description':'DORINT HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3624,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3624':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3625,HOTLE UNIVERSALE,HOTLE UNIVERSALE,Hotels/Motels/Inns/Resorts,Yes,"'3625':{'combined description':'HOTLE UNIVERSALE', 'USDA description':'HOTLE UNIVERSALE','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3626,PRINCE HOTELS,PRINCE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3626':{'combined description':'PRINCE HOTELS', 'USDA description':'PRINCE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3627,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3627':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3628,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3628':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3629,DAN HOTELS,DAN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3629':{'combined description':'DAN HOTELS', 'USDA description':'DAN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3630,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3630':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3631,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3631':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3632,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3632':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3633,RANK HOTELS,RANK HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3633':{'combined description':'RANK HOTELS', 'USDA description':'RANK HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3634,SWISSOTEL,SWISSOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3634':{'combined description':'SWISSOTEL', 'USDA description':'SWISSOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
